monotonic_ns,phase,taskbeat,motion_heartbeat,motion_type,interp_state,exec_state,x_cmd
228386937189,P1-fast-idle,221,576,0,1,2,0.0
228387108740,P1-fast-idle,221,576,0,1,2,0.0
228387279107,P1-fast-idle,221,576,0,1,2,0.0
228387449595,P1-fast-idle,221,576,0,1,2,0.0
228387620504,P1-fast-idle,221,576,0,1,2,0.0
228387790942,P1-fast-idle,221,576,0,1,2,0.0
228387965448,P1-fast-idle,221,576,0,1,2,0.0
228388137869,P1-fast-idle,222,577,0,1,2,0.0
228388308488,P1-fast-idle,222,577,0,1,2,0.0
228388478655,P1-fast-idle,222,577,0,1,2,0.0
228388649183,P1-fast-idle,222,577,0,1,2,0.0
228388831904,P1-fast-idle,222,577,0,1,2,0.0
228389005879,P1-fast-idle,222,577,0,1,2,0.0
228389177098,P1-fast-idle,223,578,0,1,2,0.0
228389347777,P1-fast-idle,223,578,0,1,2,0.0
228389518185,P1-fast-idle,223,578,0,1,2,0.0
228389689314,P1-fast-idle,223,578,0,1,2,0.0
228389859822,P1-fast-idle,223,578,0,1,2,0.0
228390031082,P1-fast-idle,223,578,0,1,2,0.0
228390202041,P1-fast-idle,224,579,0,1,2,0.0
228390372869,P1-fast-idle,224,579,0,1,2,0.0
228390543287,P1-fast-idle,224,579,0,1,2,0.0
228390713745,P1-fast-idle,224,579,0,1,2,0.0
228390884504,P1-fast-idle,224,579,0,1,2,0.0
228391056004,P1-fast-idle,224,579,0,1,2,0.0
228391231191,P1-fast-idle,225,580,0,1,2,0.0
228391402010,P1-fast-idle,225,580,0,1,2,0.0
228391572477,P1-fast-idle,225,580,0,1,2,0.0
228391748145,P1-fast-idle,225,580,0,1,2,0.0
228391919555,P1-fast-idle,225,580,0,1,2,0.0
228392091185,P1-fast-idle,225,580,0,1,2,0.0
228392262725,P1-fast-idle,226,581,0,1,2,0.0
228392433844,P1-fast-idle,226,581,0,1,2,0.0
228392602659,P1-fast-idle,226,581,0,1,2,0.0
228392772947,P1-fast-idle,226,581,0,1,2,0.0
228392943566,P1-fast-idle,226,581,0,1,2,0.0
228393115266,P1-fast-idle,226,581,0,1,2,0.0
228393285814,P1-fast-idle,226,581,0,1,2,0.0
228393456723,P1-fast-idle,227,582,0,1,2,0.0
228393627722,P1-fast-idle,227,582,0,1,2,0.0
228393798440,P1-fast-idle,227,582,0,1,2,0.0
228393969540,P1-fast-idle,227,582,0,1,2,0.0
228394141049,P1-fast-idle,227,582,0,1,2,0.0
228394311868,P1-fast-idle,227,582,0,1,2,0.0
228394483599,P1-fast-idle,228,583,0,1,2,0.0
228394658585,P1-fast-idle,228,583,0,1,2,0.0
228394829093,P1-fast-idle,228,583,0,1,2,0.0
228394999561,P1-fast-idle,228,583,0,1,2,0.0
228395170861,P1-fast-idle,228,583,0,1,2,0.0
228395341168,P1-fast-idle,228,583,0,1,2,0.0
228395511807,P1-fast-idle,229,585,0,1,2,0.0
228395682145,P1-fast-idle,229,585,0,1,2,0.0
228395852202,P1-fast-idle,229,585,0,1,2,0.0
228396023612,P1-fast-idle,229,585,0,1,2,0.0
228396193779,P1-fast-idle,229,585,0,1,2,0.0
228396364197,P1-fast-idle,229,585,0,1,2,0.0
228396535377,P1-fast-idle,230,586,0,1,2,0.0
228396705805,P1-fast-idle,230,586,0,1,2,0.0
228396876223,P1-fast-idle,230,586,0,1,2,0.0
228397047532,P1-fast-idle,230,586,0,1,2,0.0
228397217720,P1-fast-idle,230,586,0,1,2,0.0
228397388107,P1-fast-idle,230,586,0,1,2,0.0
228397558666,P1-fast-idle,230,586,0,1,2,0.0
228397729464,P1-fast-idle,231,587,0,1,2,0.0
228397904100,P1-fast-idle,231,587,0,1,2,0.0
228398075540,P1-fast-idle,231,587,0,1,2,0.0
228398245928,P1-fast-idle,231,587,0,1,2,0.0
228398416266,P1-fast-idle,231,587,0,1,2,0.0
